Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
3021,INN03022,2,0,2,5,Not Selected,0,Room_Type 1,35,2018,12,4,Online,0,0,0,74.8,2,Not_Canceled
33685,INN33686,1,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,5,5,Offline,0,0,0,112.0,0,Not_Canceled
35915,INN35916,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,Canceled
32429,INN32430,3,0,1,1,Meal Plan 1,0,Room_Type 4,32,2018,3,26,Online,0,0,0,159.3,1,Canceled
19886,INN19887,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,5,16,Online,0,0,0,65.14,0,Not_Canceled
5742,INN05743,2,1,2,1,Meal Plan 1,0,Room_Type 1,96,2018,7,16,Online,0,0,0,81.08,2,Not_Canceled
32625,INN32626,1,0,0,1,Not Selected,0,Room_Type 1,14,2018,2,27,Online,0,0,0,80.0,1,Not_Canceled
19048,INN19049,3,0,1,3,Meal Plan 1,0,Room_Type 4,116,2018,8,4,Online,0,0,0,142.2,1,Not_Canceled
4467,INN04468,2,0,2,1,Meal Plan 1,0,Room_Type 1,145,2017,8,9,Online,0,0,0,76.5,1,Canceled
23201,INN23202,3,0,0,2,Meal Plan 1,0,Room_Type 4,4,2018,6,10,Online,0,0,0,162.75,0,Canceled
6169,INN06170,1,0,2,0,Meal Plan 1,0,Room_Type 1,23,2018,12,4,Online,0,0,0,96.0,1,Not_Canceled
23011,INN23012,2,1,0,2,Meal Plan 1,0,Room_Type 1,141,2018,9,23,Online,0,0,0,147.6,1,Not_Canceled
19092,INN19093,2,0,0,2,Meal Plan 1,1,Room_Type 1,1,2018,4,21,Online,0,0,0,125.0,1,Not_Canceled
12272,INN12273,2,0,0,4,Meal Plan 1,0,Room_Type 4,19,2018,12,28,Online,0,0,0,131.35,1,Not_Canceled
29742,INN29743,2,1,2,3,Not Selected,0,Room_Type 1,68,2018,10,30,Online,0,0,0,79.56,2,Not_Canceled
17873,INN17874,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled
21325,INN21326,1,0,0,1,Meal Plan 1,0,Room_Type 1,46,2018,11,23,Online,0,0,0,86.4,2,Not_Canceled
11815,INN11816,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,2017,11,11,Corporate,0,0,0,65.0,0,Not_Canceled
25247,INN25248,2,1,1,4,Meal Plan 1,0,Room_Type 1,24,2018,12,5,Online,0,0,0,78.15,1,Not_Canceled
6134,INN06135,2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2018,6,17,Online,0,0,0,126.9,0,Canceled
26043,INN26044,2,2,2,5,Meal Plan 1,0,Room_Type 6,145,2018,8,8,Online,0,0,0,184.95,1,Not_Canceled
5654,INN05655,1,0,0,2,Not Selected,0,Room_Type 1,2,2018,10,27,Online,0,0,0,139.0,3,Not_Canceled
34632,INN34633,2,0,1,3,Not Selected,0,Room_Type 1,26,2018,10,3,Online,0,0,0,103.76,1,Not_Canceled
20898,INN20899,2,0,1,1,Meal Plan 1,0,Room_Type 4,64,2018,4,23,Online,0,0,0,118.8,1,Not_Canceled
5810,INN05811,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2017,9,4,Online,0,0,0,88.83,0,Canceled
32353,INN32354,2,0,0,4,Meal Plan 1,0,Room_Type 1,159,2017,12,29,Offline,0,0,0,70.5,0,Not_Canceled
13497,INN13498,3,0,2,2,Meal Plan 1,0,Room_Type 1,17,2018,2,12,Online,0,0,0,127.0,0,Canceled
31126,INN31127,2,0,0,4,Meal Plan 1,0,Room_Type 4,68,2018,10,25,Online,0,0,0,71.46,1,Not_Canceled
25495,INN25496,2,0,1,0,Not Selected,0,Room_Type 1,93,2018,6,26,Online,0,0,0,85.5,1,Not_Canceled
23266,INN23267,3,0,2,2,Meal Plan 1,0,Room_Type 4,132,2018,10,16,Online,0,0,0,151.2,0,Canceled
28015,INN28016,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Canceled
2647,INN02648,2,0,0,2,Not Selected,0,Room_Type 1,46,2018,3,4,Online,0,0,0,67.5,0,Canceled
15107,INN15108,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,2017,11,3,Online,0,0,0,82.45,1,Not_Canceled
23844,INN23845,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,6,15,Online,0,0,0,141.0,0,Canceled
19148,INN19149,2,0,2,3,Meal Plan 1,0,Room_Type 1,15,2017,9,20,Online,0,0,0,124.0,2,Not_Canceled
19865,INN19866,3,0,2,3,Meal Plan 1,0,Room_Type 4,14,2018,5,8,Online,0,0,0,159.0,0,Canceled
3504,INN03505,1,0,0,1,Meal Plan 1,0,Room_Type 1,119,2018,6,7,Offline,0,0,0,110.0,0,Not_Canceled
13167,INN13168,2,0,1,3,Not Selected,0,Room_Type 1,48,2018,7,25,Offline,0,0,0,63.75,0,Not_Canceled
28857,INN28858,1,0,0,2,Meal Plan 1,0,Room_Type 1,47,2018,3,16,Online,0,0,0,76.5,0,Canceled
28767,INN28768,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,116.33,0,Canceled
24026,INN24027,2,0,1,3,Meal Plan 1,0,Room_Type 1,113,2018,6,30,Offline,0,0,0,85.0,0,Canceled
22362,INN22363,2,0,2,9,Meal Plan 2,0,Room_Type 4,5,2018,2,23,Online,0,0,0,146.0,0,Canceled
12558,INN12559,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0,Canceled
29385,INN29386,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,2017,9,18,Online,0,0,0,124.0,2,Not_Canceled
16951,INN16952,2,0,0,4,Meal Plan 1,0,Room_Type 1,23,2017,11,4,Online,0,0,0,90.95,1,Not_Canceled
32395,INN32396,2,0,0,3,Meal Plan 2,0,Room_Type 1,104,2018,10,25,Online,0,0,0,125.1,1,Not_Canceled
5954,INN05955,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Online,0,0,0,115.0,1,Canceled
4932,INN04933,2,0,2,2,Meal Plan 1,0,Room_Type 4,52,2018,5,28,Online,0,0,0,140.4,0,Canceled
29634,INN29635,2,1,2,1,Meal Plan 1,0,Room_Type 1,121,2018,7,17,Online,0,0,0,121.5,2,Not_Canceled
24579,INN24580,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,3,8,Online,0,0,0,103.0,0,Not_Canceled
20687,INN20688,2,0,1,4,Meal Plan 1,0,Room_Type 1,36,2018,12,21,Online,0,0,0,88.4,2,Not_Canceled
29446,INN29447,1,0,0,1,Meal Plan 1,0,Room_Type 1,48,2017,10,23,Online,0,0,0,65.83,0,Not_Canceled
6424,INN06425,2,0,2,1,Meal Plan 1,0,Room_Type 1,271,2018,12,3,Online,0,0,0,71.64,0,Not_Canceled
21910,INN21911,2,0,1,1,Meal Plan 2,0,Room_Type 1,145,2018,10,22,Online,0,0,0,153.0,0,Canceled
21856,INN21857,1,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,11,7,Online,0,0,0,199.0,2,Not_Canceled
2975,INN02976,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,5,Online,0,0,0,135.0,1,Not_Canceled
14361,INN14362,3,0,0,4,Meal Plan 1,0,Room_Type 4,100,2018,8,24,Online,0,0,0,150.3,0,Canceled
29714,INN29715,2,0,0,2,Meal Plan 1,0,Room_Type 1,67,2018,11,25,Offline,0,0,0,75.0,0,Not_Canceled
33283,INN33284,2,0,2,5,Meal Plan 1,0,Room_Type 1,76,2017,9,16,Offline,0,0,0,71.4,1,Not_Canceled
35548,INN35549,2,0,0,2,Meal Plan 1,0,Room_Type 1,247,2018,8,11,Online,0,0,0,96.3,0,Canceled
23033,INN23034,2,0,0,1,Not Selected,0,Room_Type 1,50,2018,6,28,Online,0,0,0,82.47,1,Not_Canceled
3946,INN03947,2,0,1,1,Meal Plan 1,0,Room_Type 1,68,2018,7,18,Online,0,0,0,105.3,1,Not_Canceled
813,INN00814,1,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,75.33,0,Not_Canceled
13637,INN13638,2,0,1,2,Meal Plan 1,0,Room_Type 1,62,2018,3,11,Online,0,0,0,60.29,1,Not_Canceled
4061,INN04062,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0,Not_Canceled
4084,INN04085,2,1,0,3,Meal Plan 1,0,Room_Type 1,38,2018,3,24,Online,0,0,0,133.8,0,Canceled
35970,INN35971,2,0,2,3,Meal Plan 2,0,Room_Type 1,172,2018,7,29,Offline,0,0,0,300.0,1,Canceled
25745,INN25746,2,0,1,1,Meal Plan 1,0,Room_Type 1,235,2018,8,6,Online,0,0,0,96.3,1,Not_Canceled
22346,INN22347,2,0,1,5,Meal Plan 1,0,Room_Type 1,93,2018,4,26,Online,0,0,0,105.4,0,Not_Canceled
13377,INN13378,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,3,7,Corporate,1,0,2,66.0,0,Not_Canceled
9619,INN09620,2,0,1,1,Meal Plan 1,0,Room_Type 1,128,2018,11,19,Online,0,0,0,90.0,0,Canceled
6245,INN06246,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
3921,INN03922,2,0,2,6,Meal Plan 1,0,Room_Type 1,24,2017,9,1,Offline,0,0,0,53.85,0,Not_Canceled
4972,INN04973,2,0,0,4,Not Selected,0,Room_Type 1,29,2018,4,6,Offline,0,0,0,85.0,0,Not_Canceled
20839,INN20840,1,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,11,22,Offline,1,0,1,75.0,1,Not_Canceled
17979,INN17980,2,0,2,2,Meal Plan 1,0,Room_Type 1,2,2018,12,17,Online,0,0,0,81.6,0,Not_Canceled
10628,INN10629,2,0,2,2,Meal Plan 1,0,Room_Type 4,139,2018,7,31,Online,0,0,0,114.33,0,Canceled
11024,INN11025,2,0,0,1,Not Selected,0,Room_Type 1,50,2018,9,2,Online,0,0,0,99.0,0,Canceled
28136,INN28137,2,0,0,4,Not Selected,0,Room_Type 1,52,2018,11,23,Online,0,0,0,74.8,1,Not_Canceled
33327,INN33328,2,0,2,2,Meal Plan 1,0,Room_Type 1,130,2018,5,1,Online,0,0,0,71.6,3,Not_Canceled
12821,INN12822,2,0,0,3,Meal Plan 1,0,Room_Type 1,124,2018,4,5,Offline,0,0,0,71.0,0,Not_Canceled
21941,INN21942,2,0,1,3,Meal Plan 1,1,Room_Type 1,11,2018,11,14,Online,0,0,0,114.0,1,Not_Canceled
31895,INN31896,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,0,0,0,117.0,1,Canceled
438,INN00439,3,0,1,3,Meal Plan 2,0,Room_Type 4,63,2018,10,24,Online,0,0,0,123.66,2,Not_Canceled
8715,INN08716,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
29628,INN29629,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
32646,INN32647,2,0,2,1,Not Selected,0,Room_Type 1,49,2018,3,6,Online,0,0,0,69.5,0,Not_Canceled
8970,INN08971,2,0,1,3,Meal Plan 1,0,Room_Type 1,196,2018,5,12,Offline,0,0,0,80.75,1,Not_Canceled
9747,INN09748,2,0,1,1,Meal Plan 1,0,Room_Type 1,7,2018,4,23,Online,0,0,0,131.0,2,Not_Canceled
36106,INN36107,2,0,0,2,Meal Plan 1,0,Room_Type 2,12,2017,12,24,Online,0,0,0,77.25,1,Not_Canceled
18650,INN18651,1,0,2,3,Meal Plan 1,0,Room_Type 1,41,2017,10,18,Online,0,0,0,105.0,2,Not_Canceled
7565,INN07566,2,0,0,3,Meal Plan 1,0,Room_Type 4,8,2018,11,30,Online,0,0,0,114.0,0,Canceled
29924,INN29925,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,1,14,Online,0,0,0,66.7,0,Not_Canceled
35567,INN35568,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,115.0,1,Canceled
24163,INN24164,2,0,1,0,Meal Plan 1,0,Room_Type 1,160,2018,7,24,Online,0,0,0,105.3,0,Canceled
4120,INN04121,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,6,11,Online,0,0,0,121.0,0,Not_Canceled
32607,INN32608,2,0,2,1,Not Selected,0,Room_Type 1,41,2018,9,10,Online,0,0,0,125.1,1,Not_Canceled
29485,INN29486,1,0,0,3,Meal Plan 2,0,Room_Type 1,13,2018,4,26,Offline,0,0,0,73.0,0,Not_Canceled
23403,INN23404,2,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,7,5,Online,0,0,0,151.0,1,Not_Canceled
7628,INN07629,2,0,2,2,Not Selected,0,Room_Type 1,18,2018,12,17,Online,0,0,0,74.8,0,Not_Canceled
12209,INN12210,3,0,0,4,Meal Plan 1,0,Room_Type 4,10,2018,3,23,Online,0,0,0,182.0,0,Canceled
22395,INN22396,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,9,8,Online,0,0,0,138.0,1,Not_Canceled
12463,INN12464,2,0,1,1,Meal Plan 1,0,Room_Type 1,145,2018,7,30,Online,0,0,0,114.3,0,Canceled
12421,INN12422,1,0,1,0,Meal Plan 1,0,Room_Type 1,6,2017,10,12,Corporate,1,0,1,65.0,0,Not_Canceled
25038,INN25039,2,0,0,3,Meal Plan 1,0,Room_Type 4,122,2018,8,2,Online,0,0,0,118.8,1,Not_Canceled
5570,INN05571,1,0,1,2,Not Selected,0,Room_Type 1,120,2018,6,27,Online,0,0,0,85.5,0,Not_Canceled
10423,INN10424,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,20,Online,0,0,0,161.0,1,Not_Canceled
9545,INN09546,2,2,1,3,Meal Plan 1,0,Room_Type 6,47,2018,8,22,Online,0,0,0,207.9,1,Canceled
19573,INN19574,2,2,0,1,Meal Plan 1,0,Room_Type 6,85,2018,6,30,Online,0,0,0,186.3,0,Canceled
12690,INN12691,2,0,1,5,Meal Plan 1,0,Room_Type 1,18,2018,2,22,Offline,0,0,0,50.33,0,Not_Canceled
242,INN00243,2,0,0,2,Meal Plan 1,0,Room_Type 1,21,2017,9,3,Online,0,0,0,105.0,0,Not_Canceled
16610,INN16611,1,0,0,3,Meal Plan 1,0,Room_Type 1,214,2018,8,16,Online,0,0,0,90.9,0,Canceled
36105,INN36106,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0,Canceled
32112,INN32113,2,0,2,1,Meal Plan 1,0,Room_Type 1,18,2018,4,10,Online,0,0,0,92.76,0,Not_Canceled
16323,INN16324,2,0,0,3,Meal Plan 1,0,Room_Type 1,41,2017,10,6,Online,0,0,0,98.67,2,Not_Canceled
18735,INN18736,2,0,1,3,Meal Plan 2,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,86.0,0,Canceled
14971,INN14972,2,0,0,1,Meal Plan 1,0,Room_Type 1,26,2018,6,8,Offline,0,0,0,120.0,0,Not_Canceled
14956,INN14957,1,0,0,1,Meal Plan 1,0,Room_Type 6,0,2018,2,10,Complementary,1,3,11,0.0,1,Not_Canceled
33449,INN33450,2,0,1,2,Not Selected,1,Room_Type 1,26,2018,10,3,Online,0,0,0,142.0,2,Not_Canceled
15101,INN15102,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
6813,INN06814,2,0,1,2,Meal Plan 1,0,Room_Type 1,20,2018,10,3,Online,0,0,0,108.99,1,Not_Canceled
10577,INN10578,2,0,0,2,Meal Plan 1,0,Room_Type 4,28,2018,5,20,Online,0,0,0,156.0,0,Canceled
23374,INN23375,1,0,3,5,Meal Plan 1,0,Room_Type 1,6,2017,8,16,Online,0,0,0,85.63,2,Not_Canceled
34732,INN34733,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
27709,INN27710,2,0,2,2,Meal Plan 1,0,Room_Type 1,124,2018,7,17,Online,0,0,0,99.45,1,Not_Canceled
19272,INN19273,2,0,2,1,Meal Plan 1,0,Room_Type 1,79,2018,4,30,Online,0,0,0,126.9,0,Canceled
9149,INN09150,2,0,2,2,Not Selected,0,Room_Type 1,31,2018,6,26,Online,0,0,0,98.1,1,Not_Canceled
4728,INN04729,2,1,1,0,Meal Plan 1,0,Room_Type 1,163,2018,8,1,Online,0,0,0,121.5,3,Not_Canceled
26703,INN26704,2,0,2,2,Meal Plan 1,0,Room_Type 4,5,2017,11,1,Online,0,0,0,105.0,0,Not_Canceled
17992,INN17993,2,0,2,1,Meal Plan 1,0,Room_Type 4,19,2018,2,7,Online,0,0,0,82.13,2,Not_Canceled
26642,INN26643,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
28987,INN28988,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,9,Online,0,0,0,106.0,0,Not_Canceled
19927,INN19928,2,0,0,3,Meal Plan 1,0,Room_Type 1,126,2018,6,2,Offline,0,0,0,80.75,0,Not_Canceled
4534,INN04535,2,0,0,1,Meal Plan 1,0,Room_Type 1,72,2018,4,16,Online,0,0,0,105.3,0,Canceled
25352,INN25353,2,0,1,1,Meal Plan 1,0,Room_Type 1,16,2017,8,29,Online,0,0,0,90.0,2,Not_Canceled
15978,INN15979,2,0,1,3,Not Selected,0,Room_Type 1,220,2018,10,20,Online,0,0,0,80.75,1,Not_Canceled
248,INN00249,2,0,1,2,Meal Plan 1,0,Room_Type 1,21,2018,8,15,Online,0,0,0,151.0,0,Canceled
6594,INN06595,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled
18561,INN18562,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,Canceled
10016,INN10017,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,8,13,Online,0,0,0,167.0,1,Not_Canceled
16520,INN16521,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115.0,0,Canceled
27852,INN27853,2,0,2,4,Meal Plan 1,0,Room_Type 2,296,2017,10,24,Online,0,0,0,56.01,0,Canceled
1023,INN01024,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
5893,INN05894,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Online,0,0,0,89.0,0,Canceled
35028,INN35029,2,0,1,3,Meal Plan 2,0,Room_Type 1,4,2018,3,7,Offline,0,0,0,106.0,0,Not_Canceled
22847,INN22848,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,5,10,Corporate,1,3,31,65.0,0,Not_Canceled
23445,INN23446,2,0,0,1,Meal Plan 1,0,Room_Type 4,61,2018,9,30,Online,0,0,0,132.3,1,Canceled
1510,INN01511,2,1,0,1,Meal Plan 1,0,Room_Type 1,1,2018,5,3,Online,0,0,0,142.0,2,Not_Canceled
17243,INN17244,1,0,1,2,Meal Plan 1,0,Room_Type 1,154,2018,10,7,Online,0,0,0,113.4,0,Canceled
31359,INN31360,3,0,4,11,Meal Plan 1,0,Room_Type 4,90,2018,8,16,Online,0,0,0,150.3,0,Canceled
10012,INN10013,2,0,0,3,Meal Plan 1,0,Room_Type 4,237,2018,10,13,Online,0,0,0,128.4,0,Canceled
17666,INN17667,1,0,1,3,Meal Plan 2,0,Room_Type 1,210,2017,10,8,Online,0,0,0,0.0,0,Canceled
30670,INN30671,1,0,1,0,Not Selected,0,Room_Type 1,180,2018,10,10,Online,0,0,0,98.1,1,Not_Canceled
2585,INN02586,2,0,2,4,Meal Plan 1,0,Room_Type 2,15,2018,1,28,Online,0,0,0,77.88,0,Not_Canceled
10205,INN10206,2,0,2,3,Meal Plan 1,0,Room_Type 1,228,2018,6,26,Online,0,0,0,77.23,1,Not_Canceled
15177,INN15178,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,13,Complementary,0,0,0,0.0,1,Not_Canceled
14930,INN14931,2,0,0,4,Meal Plan 1,0,Room_Type 4,75,2018,9,14,Online,0,0,0,149.4,3,Not_Canceled
24731,INN24732,3,0,1,2,Meal Plan 1,0,Room_Type 4,82,2018,7,25,Online,0,0,0,139.5,0,Canceled
6482,INN06483,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
16414,INN16415,2,0,2,0,Meal Plan 1,0,Room_Type 1,81,2018,11,13,Online,0,0,0,93.6,0,Canceled
13915,INN13916,2,0,1,2,Meal Plan 1,0,Room_Type 4,95,2018,5,6,Online,0,0,0,140.4,1,Not_Canceled
5527,INN05528,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,2018,6,9,Online,0,0,0,117.9,0,Canceled
11096,INN11097,2,0,1,5,Meal Plan 1,0,Room_Type 1,142,2018,9,20,Online,0,0,0,129.6,1,Canceled
11195,INN11196,2,1,2,4,Meal Plan 1,0,Room_Type 1,37,2018,3,23,Online,0,0,0,127.8,2,Canceled
12839,INN12840,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,9,8,Online,0,0,0,142.67,1,Not_Canceled
21926,INN21927,2,0,0,4,Meal Plan 1,0,Room_Type 4,213,2018,8,31,Online,0,0,0,118.15,1,Canceled
19005,INN19006,2,0,2,4,Meal Plan 1,0,Room_Type 1,201,2018,8,12,Online,0,0,0,96.62,1,Canceled
18393,INN18394,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75.0,0,Canceled
8966,INN08967,2,0,0,2,Meal Plan 1,0,Room_Type 1,48,2018,2,26,Online,0,0,0,79.4,1,Not_Canceled
25535,INN25536,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
15783,INN15784,2,0,2,5,Meal Plan 1,0,Room_Type 4,176,2018,8,8,Online,0,0,0,112.2,1,Canceled
22341,INN22342,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2018,6,17,Offline,0,0,0,75.0,1,Not_Canceled
36184,INN36185,2,1,2,0,Meal Plan 1,0,Room_Type 1,16,2018,12,4,Online,0,0,0,118.8,1,Not_Canceled
30302,INN30303,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
25782,INN25783,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
21127,INN21128,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,8,31,Online,0,0,0,106.0,0,Not_Canceled
9728,INN09729,2,0,0,2,Not Selected,0,Room_Type 1,77,2018,3,25,Offline,0,0,0,53.38,1,Not_Canceled
3357,INN03358,3,0,2,2,Meal Plan 2,0,Room_Type 4,42,2018,3,20,Online,0,0,0,180.16,1,Not_Canceled
21815,INN21816,2,0,2,5,Meal Plan 1,0,Room_Type 1,150,2018,9,24,Online,0,0,0,129.6,2,Canceled
5567,INN05568,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,2017,10,7,Online,0,0,0,107.0,2,Not_Canceled
17660,INN17661,2,0,0,4,Meal Plan 1,0,Room_Type 4,47,2018,9,7,Online,0,0,0,139.95,0,Not_Canceled
25468,INN25469,2,0,2,5,Not Selected,0,Room_Type 1,107,2018,12,21,Online,0,0,0,76.69,1,Not_Canceled
13862,INN13863,2,0,1,0,Not Selected,0,Room_Type 1,48,2018,11,6,Online,0,0,0,79.2,1,Not_Canceled
17456,INN17457,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,2,18,Corporate,1,0,3,66.0,0,Not_Canceled
630,INN00631,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Online,0,0,0,90.0,0,Canceled
24517,INN24518,2,0,0,1,Not Selected,0,Room_Type 1,73,2018,9,15,Corporate,0,0,0,100.0,1,Canceled
2499,INN02500,1,0,1,0,Meal Plan 1,0,Room_Type 4,106,2018,11,6,Corporate,1,0,1,103.0,0,Not_Canceled
9787,INN09788,3,0,1,0,Meal Plan 1,1,Room_Type 4,54,2018,7,3,Online,0,0,0,159.3,2,Not_Canceled
27970,INN27971,2,0,0,1,Not Selected,0,Room_Type 1,108,2018,7,9,Online,0,0,0,103.5,0,Canceled
10152,INN10153,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82.0,0,Not_Canceled
24304,INN24305,2,0,2,3,Meal Plan 1,0,Room_Type 1,144,2018,9,23,Online,0,0,0,129.6,2,Not_Canceled
6948,INN06949,2,0,0,2,Not Selected,0,Room_Type 1,112,2018,4,8,Online,0,0,0,65.83,1,Not_Canceled
16545,INN16546,2,0,1,5,Meal Plan 2,0,Room_Type 1,94,2018,3,28,Offline,0,0,0,110.75,1,Not_Canceled
8919,INN08920,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled
8156,INN08157,1,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,Offline,0,0,0,80.0,0,Canceled
12708,INN12709,2,0,1,2,Not Selected,0,Room_Type 1,155,2018,8,22,Online,0,0,0,94.5,0,Canceled
33092,INN33093,3,0,0,3,Meal Plan 1,0,Room_Type 4,88,2018,10,20,Online,0,0,0,151.2,1,Not_Canceled
2855,INN02856,3,0,0,1,Meal Plan 1,0,Room_Type 4,7,2018,5,13,Online,0,0,0,215.0,2,Not_Canceled
11335,INN11336,1,0,5,10,Meal Plan 1,0,Room_Type 1,11,2018,5,9,Aviation,0,0,0,95.0,0,Canceled
33264,INN33265,2,1,2,3,Meal Plan 1,0,Room_Type 1,1,2017,9,20,Online,0,0,0,111.65,2,Not_Canceled
35048,INN35049,2,0,0,2,Meal Plan 2,0,Room_Type 1,14,2017,9,17,Offline,0,0,0,82.0,0,Not_Canceled
505,INN00506,3,0,0,4,Meal Plan 1,0,Room_Type 4,42,2018,8,30,Online,0,0,0,142.2,2,Not_Canceled
26410,INN26411,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
2863,INN02864,3,0,2,3,Meal Plan 1,0,Room_Type 4,54,2018,9,2,Online,0,0,0,139.86,0,Canceled
14673,INN14674,2,2,2,1,Meal Plan 1,0,Room_Type 6,4,2018,4,17,Online,0,0,0,152.85,2,Not_Canceled
24830,INN24831,3,0,0,3,Meal Plan 1,0,Room_Type 4,45,2018,8,16,Online,0,0,0,177.3,2,Not_Canceled
25733,INN25734,2,0,1,2,Not Selected,0,Room_Type 1,63,2018,8,15,Offline,0,0,0,63.75,0,Not_Canceled
27449,INN27450,2,0,0,3,Meal Plan 1,0,Room_Type 1,162,2017,9,17,Offline,0,0,0,70.0,0,Not_Canceled
4341,INN04342,2,0,0,3,Meal Plan 1,0,Room_Type 1,16,2018,12,6,Online,0,0,0,104.0,0,Not_Canceled
21775,INN21776,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,4,22,Online,0,0,0,105.3,2,Not_Canceled
